niche_user Novelty Normal,niche_user Novelty Calibrated,niche_user MRR Normal,niche_user MRR Calibrated,niche_user PL Normal,niche_user PL Calibrated,niche_user KLD Normal,niche_user KLD Calibrated,niche_user NCDG Normal,niche_user coverage,niche_user DPF,niche_user normalized_DPF,niche_user coverage_category_I1,niche_user coverage_category_I2,niche_user normalized_coverage_category_I1,niche_user normalized_coverage_category_I2,blockbuster Novelty Normal,blockbuster Novelty Calibrated,blockbuster MRR Normal,blockbuster MRR Calibrated,blockbuster PL Normal,blockbuster PL Calibrated,blockbuster KLD Normal,blockbuster KLD Calibrated,blockbuster NCDG Normal,blockbuster coverage,blockbuster DPF,blockbuster normalized_DPF,blockbuster coverage_category_I1,blockbuster coverage_category_I2,blockbuster normalized_coverage_category_I1,blockbuster normalized_coverage_category_I2,diverse Novelty Normal,diverse Novelty Calibrated,diverse MRR Normal,diverse MRR Calibrated,diverse PL Normal,diverse PL Calibrated,diverse KLD Normal,diverse KLD Calibrated,diverse NCDG Normal,diverse coverage,diverse DPF,diverse normalized_DPF,diverse coverage_category_I1,diverse coverage_category_I2,diverse normalized_coverage_category_I1,diverse normalized_coverage_category_I2,Learning Rate,learning_rate_factor,batch_size,dropout,max_grad_norm,noise_multiplier,latent_dim,mlp_layer_sizes,num_epochs,step_size,gamma,delta,Test Losses,Train Losses,KLD_test,NDCG_test,recall_test,Total MRR,Calibrated_MRR,NDCG_normal,Calibrated_NDCG,average_recall,average_recall_calibrated,KLD_Normal,KLD_Calibrated,normal_PL,Calibrated_PL,novelty_normal,Calibrated_novelty,Coverage,exposure_I1,exposure_I2,DPF,normalized_DPF,normalized_exposure_1,normalized_exposure_2,PL_per_category,kld_pre_category,ndcg_per_category,epsilon,model_name
0.039908795891567476,0.03835288480922171,0.0267985008818342,0.03235030864197529,1.6295794998354898,1.5171261259061481,0.4594922977744163,0.26175003942605135,0.22530836845456442,0.2907,0.13010522892107207,-0.457233368532207,0.39477726574500765,0.2646720368239356,0.2713833157338965,0.7286166842661035,0.044182832790397336,0.04392062103795201,0.05179256753769291,0.0556653918144169,0.12444845433146841,0.11699943425535357,0.25565068600961066,0.1825950620985716,0.41354310233746794,0.3769,0.2776360702044654,-0.36482084690553745,0.5990783410138248,0.32144227080935944,0.31758957654723124,0.6824104234527687,0.051692702750913665,0.05107176057654735,0.04604396732249377,0.04804673242186833,0.9527762626787274,0.9268668060668607,0.30657086967536534,0.2084417793898879,0.36538528835042877,0.5359,0.22675568612685798,-0.46506300114547533,0.717357910906298,0.49060222477944,0.2674684994272623,0.7325315005727376,0.0005,0.2,256,None,2.0,0.4,5,None,400,None,None,1e-05,0.4781634713678414,0.346531830882916,0.3066057614123048,0.3656234921433288,0.0975133658629722,0.045921886254778034,0.048469816821506424,0.3656234921433288,0.39130705642217434,0.0975133658629722,0.10281093906645998,0.3066057614123048,0.20700985807327163,0.7713236653003633,0.7471431702027986,22.22834852233565,22.257296370334036,0.5823,0.7526881720430108,0.5397008055235903,0.2129873665194204,-0.48339483394833943,0.25830258302583026,0.7416974169741697,"{'I2': -0.41108263650275023, 'I1': 0.6161889838662368}","{'I1': 0.28828418138090217, 'I2': 0.8121661079855569}","{'I2': 0.025868571063546297, 'I1': 0.4127305606941193}",35.77060003957092,1M_DPSGD_BPR_50
0.040424475284842415,0.03875357739933538,0.02959512786596121,0.035134149029982346,1.6525856066264935,1.5310582229239234,0.46586614110446384,0.2524237943244041,0.2462283609294706,0.2827,0.18423104049890493,-0.3919652551574375,0.43010752688172044,0.2458764863828155,0.30401737242128124,0.6959826275787188,0.044225852293873526,0.043916446344889636,0.04966312213526702,0.054084169724838274,0.12421670512286892,0.11537615443011426,0.2506881959918163,0.18222225160930056,0.3995301171538498,0.3794,0.328318476133911,-0.32362459546925565,0.642089093701997,0.31377061756808594,0.33818770226537215,0.6618122977346278,0.05273137637969379,0.05218672073342985,0.04790175876189795,0.050119496106781576,0.9903918832107943,0.967468061540488,0.30679326246306843,0.21313599064181663,0.3798721888140615,0.5258,0.281646895366781,-0.4290718038528896,0.7511520737327189,0.46950517836593786,0.28546409807355516,0.7145359019264448,0.0005,0.2,256,None,2.0,0.5,5,None,400,None,None,1e-05,0.47071506241822186,0.3347913689274711,0.3062700891807504,0.37541041517767515,0.10070528874648964,0.04712444859803276,0.04993321398339644,0.37541041517767515,0.40315503678580283,0.10070528874648964,0.10621425768443027,0.3062700891807504,0.2099643298911892,0.7991734220517597,0.776513172810678,22.103256713323525,22.128415033307256,0.5795,0.7880184331797235,0.5274261603375527,0.2605922728421708,-0.4565677966101695,0.2717161016949153,0.7282838983050848,"{'I1': 0.5939298153506655, 'I2': -0.31634224490451823}","{'I1': 0.29000508485407794, 'I2': 0.8671407187664035}","{'I1': 0.4109266915360156, 'I2': 0.03701767511132647}",16.235198917615076,1M_DPSGD_BPR_50
0.034901403274927384,0.033730543410646636,0.026177469135802475,0.02969631834215167,1.2821507322937615,1.1954316842945065,0.4766286726815444,0.26043961294745505,0.22209386893559793,0.2934,0.12089394204543247,-0.46861924686192463,0.3901689708141321,0.26927502876869963,0.26569037656903766,0.7343096234309623,0.03408600729364417,0.03379776601975932,0.037824018805912976,0.04178272980501396,-0.14094537271463636,-0.14942483984894364,0.2450604772300827,0.17127678023690196,0.3141685706282877,0.453,0.1575517173720522,-0.489159891598916,0.5791090629800307,0.42155734560797853,0.255420054200542,0.744579945799458,0.044913065616399704,0.04426717696528807,0.040701926427312414,0.04246010184121483,0.6893433181798567,0.6622342035413671,0.30810463183662806,0.1967596423636614,0.3258931017481044,0.5467,0.14038241600511914,-0.5182481751824817,0.6589861751152074,0.5186037591100883,0.24087591240875914,0.7591240875912408,0.0005,0.2,256,None,2.0,1.0,5,None,400,None,None,1e-05,0.49145668648177715,0.38641834678881165,0.30690723206732046,0.31761303486692766,0.07715777251092276,0.03932261024096085,0.04157827147641679,0.31761303486692766,0.3416933014677706,0.07715777251092276,0.08143001179083655,0.30690723206732046,0.19601100819666,0.5046882226604691,0.4802221425902685,22.909242723765605,22.936998472800738,0.6041,0.7127496159754224,0.5769083237437668,0.13584129223165564,-0.5284552845528456,0.23577235772357724,0.7642276422764228,"{'I2': -0.445623617577771, 'I1': 0.5674681146505004}","{'I1': 0.3030893543410141, 'I2': 0.7591315141921658}","{'I2': 0.02962251444190826, 'I1': 0.3971016529892}",2.0747591440675017,1M_DPSGD_BPR_50
0.03775184201708314,0.036461783179781056,0.02964891975308642,0.03257131834215165,1.475766009868588,1.3822172589238446,0.45528757213911397,0.2614027961211959,0.23336650813078738,0.3082,0.12359846496228694,-0.4721115537848606,0.40706605222734255,0.2834675872650556,0.2639442231075697,0.7360557768924303,0.04194812707853786,0.04170620783782969,0.049191979484458685,0.05304044892485007,0.06398158282277866,0.05689847800864091,0.2516741658943918,0.18268352503972837,0.3899902597365988,0.4055,0.28227618305200997,-0.3777441332323997,0.631336405529954,0.349060222477944,0.3111279333838001,0.6888720666161998,0.05060134832967599,0.05000124545120287,0.04592941320554895,0.048296005354253685,0.9073120956548104,0.8821416326120081,0.29880667745738165,0.20604614950867556,0.36396157555069536,0.5421,0.20756594705145137,-0.477916194790487,0.7081413210445469,0.5005753739930955,0.2610419026047565,0.7389580973952435,0.0005,0.2,256,None,2.0,0.6,5,None,400,None,None,1e-05,0.47234820567730995,0.34314317818303763,0.29972940139446075,0.36081793007157165,0.09388425121967274,0.045540676246208056,0.04820472983275249,0.36081793007157165,0.38468567858259717,0.09388425121967274,0.10012703313349999,0.29972940139446075,0.20517944633336108,0.7186659357502325,0.6957213090391812,22.305300980987028,22.330708770024597,0.5988,0.7741935483870968,0.5550441120061373,0.2191494363809594,-0.48334187596104566,0.2583290620194772,0.7416709379805229,"{'I2': -0.3916357889169591, 'I1': 0.5793466316003826}","{'I2': 0.895910384416003, 'I1': 0.28419000758745105}","{'I2': 0.034878562232893505, 'I1': 0.4076118857032366}",7.416967013292455,1M_DPSGD_BPR_50
0.022056843454875727,0.021061515323866145,0.019602623456790116,0.022655974426807744,0.39548932112523194,0.3238120987820601,0.4076970815622539,0.229949599883139,0.166704497054216,0.3143,0.031460848937369945,-0.568359375,0.33947772657450076,0.3080168776371308,0.2158203125,0.7841796875,0.017339098552944247,0.01727802989908455,0.015021517737395176,0.01927219200896083,-0.5827844709146961,-0.5850661566263178,0.24592684056336453,0.17391141837231147,0.1509550974890745,0.4745,0.04431528727159595,-0.5705045278137129,0.5099846390168971,0.4656693517453011,0.2147477360931436,0.7852522639068564,0.02562605806074935,0.02495232494180511,0.02166645967232796,0.02357310177566639,-0.07017801301372129,-0.09814479322043625,0.27774071141918333,0.16436903951817078,0.19989533947031288,0.5654,0.03827695375265816,-0.5787187839305103,0.5960061443932412,0.557729190640583,0.21064060803474485,0.7893593919652552,0.0005,0.2,256,None,2.0,2.0,5,None,400,None,None,1e-05,0.5699154527753633,0.5239188256082028,0.2798143706341202,0.18918693538227233,0.039702541685931424,0.0203581483935078,0.022751265792835804,0.18918693538227233,0.2119707166689805,0.039702541685931424,0.04322289048696804,0.2798143706341202,0.1699811865465408,-0.18095193731813278,-0.20402830892532123,24.5093774569192,24.535668658932547,0.6123,0.6543778801843319,0.6018411967779056,0.052536683406426254,-0.5729323308270677,0.21353383458646616,0.7864661654135339,"{'I2': -0.5720149140159371, 'I1': 0.2904099238388446}","{'I2': 0.6670175877141253, 'I1': 0.3243436246015435}","{'I2': 0.0312196265997172, 'I1': 0.31523739442110854}",0.7726232114291356,1M_DPSGD_BPR_50
0.03676946500929474,0.03540030327292491,0.02906459435626102,0.03243198853615519,1.415698759384303,1.315374582145207,0.4726770336580595,0.2674873305991811,0.235527987385471,0.299,0.10439104926650866,-0.4887063655030801,0.3824884792626728,0.27809742999616416,0.25564681724845995,0.74435318275154,0.03937305918174663,0.039157795688955936,0.04466349058967444,0.05015147160690335,-0.0009759257149441314,-0.007361971014459482,0.25309666180492324,0.17964909439705243,0.3647415245409539,0.4233,0.19283955461987312,-0.4546773023930384,0.5775729646697388,0.3847334100498657,0.2726613488034808,0.7273386511965192,0.04802133837273261,0.04737863041523213,0.04201766006699727,0.044741464070957825,0.8118247031828445,0.7849131796233034,0.3047867114366628,0.20256611762985596,0.3365503907584299,0.5378,0.1553456751496768,-0.5079908675799087,0.6620583717357911,0.5067126965861143,0.24600456621004566,0.7539954337899544,0.0005,0.2,256,None,2.0,0.7,5,None,400,None,None,1e-05,0.4875727104613835,0.36815796813728996,0.3055767631998823,0.3355556550627547,0.08480693855636436,0.04171730495223389,0.04497252848362501,0.3355556550627547,0.3656380747428686,0.08480693855636436,0.09114382687121148,0.3055767631998823,0.20234915881025142,0.6318219203269859,0.6075717713914244,22.614345394570062,22.642211302937834,0.5918,0.7219662058371735,0.5592635212888377,0.1627026845483358,-0.5124481327800829,0.2437759336099585,0.7562240663900415,"{'I1': 0.6114149614691178, 'I2': -0.4162255125277841}","{'I1': 0.297228474075201, 'I2': 0.7982238589618985}","{'I1': 0.402512847614617, 'I2': 0.02674917223750477}",4.527821907900405,1M_DPSGD_BPR_50
0.0045517844610797045,0.0046061390280895,0.005858575837742505,0.010469246031746031,-0.7862951682133419,-0.7823277411958887,0.36080937655495776,0.21088398673935138,0.07348704215949045,0.3118,-0.23998486881296194,-0.8464566929133859,0.11981566820276497,0.3598005370157269,0.07677165354330709,0.9232283464566929,0.004435845127982499,0.0045389978695930784,0.0015242221927458703,0.003099659548127514,-0.9174529336025775,-0.9150178413038783,0.2492889263194188,0.18471241747379244,0.02266425896723192,0.4607,-0.3319580922684231,-0.8307794803464357,0.19508448540706605,0.5270425776754891,0.08461025982678215,0.9153897401732178,0.004507854501681788,0.0045306012499956305,0.0032636969878873773,0.0047704260288481265,-0.8782749179553236,-0.8775776136101919,0.22355120609662918,0.14464885678617936,0.04919435399462531,0.5494,-0.3007570896505155,-0.7754189944134078,0.3087557603686636,0.6095128500191791,0.1122905027932961,0.8877094972067039,0.0005,0.2,256,None,2.0,3.0,5,None,400,None,None,1e-05,0.7850718361534965,0.8047490237858591,0.2363257119006939,0.04591056058535879,0.00862844720395677,0.0031081391925214434,0.00481218815228424,0.04591056058535879,0.061824275607943346,0.00862844720395677,0.010462506495379732,0.2363257119006939,0.15574410382885925,-0.8849145309079153,-0.8836846152977025,26.402077187478625,26.395509385134925,0.593,0.34408602150537637,0.6551591868047564,-0.31107316529938,-0.7681159420289856,0.11594202898550725,0.8840579710144928,"{'I1': -0.541062313377543, 'I2': -0.5833563440027907}","{'I1': 0.533549933935476, 'I2': 0.5418246951890036}","{'I1': 0.0723136910263402, 'I2': 0.04023568876447551}",0.4809092798348328,1M_DPSGD_BPR_50
0.03747064661554341,0.036096385019661587,0.026777998236331573,0.03304045414462082,1.459418928842992,1.3585369445747406,0.45284361043200605,0.25106369300309855,0.22081616981221647,0.302,0.10823394653529406,-0.48577235772357724,0.38863287250384027,0.2803989259685462,0.2571138211382114,0.7428861788617886,0.038401047974783234,0.03824016126105696,0.044829074000383246,0.0479110108915123,-0.02881628773521686,-0.03373375400287305,0.25629049482570304,0.17867612343207862,0.35887374230028973,0.4297,0.24045506691484636,-0.42142857142857143,0.6221198156682027,0.3816647487533564,0.2892857142857143,0.7107142857142857,0.047747259661925646,0.04707909861352574,0.04279343172464248,0.04479166882285785,0.7973605961345542,0.7692915145035938,0.30450038796596973,0.1990218019879536,0.3428824347695142,0.5583,0.20259351374092083,-0.4843320505772402,0.7204301075268817,0.5178365937859609,0.25783397471137987,0.7421660252886201,0.0005,0.2,256,None,2.0,0.8,5,None,400,None,None,1e-05,0.48341513913038503,0.3628769572695188,0.3047457515260403,0.3384569267910475,0.08513965821844079,0.04220165144560651,0.044647431347497775,0.3384569267910475,0.36301448018551685,0.08513965821844079,0.0898148156278047,0.3047457515260403,0.19849559876847278,0.6159584493816816,0.5912149614621625,22.5809281629805,22.608652212659855,0.6065,0.7649769585253456,0.5669351745301112,0.19804178399523442,-0.4959514170040486,0.2520242914979757,0.7479757085020243,"{'I1': 0.5589731185089328, 'I2': -0.35169865217895935}","{'I1': 0.29661178822552325, 'I2': 0.8083040352702923}","{'I1': 0.39312279908187064, 'I2': 0.035899815893931465}",3.238399918639728,1M_DPSGD_BPR_50
0.04045453129090028,0.03893600733187385,0.029071538800705475,0.033163470017636656,1.6677863386226524,1.5550766219554113,0.47304577623865357,0.25769019322931486,0.23803052746093778,0.2864,0.13547538618996352,-0.4490889603429797,0.39477726574500765,0.25930187955504413,0.2754555198285102,0.7245444801714899,0.041064675284210456,0.040806164380303545,0.047009624029122746,0.04990615466242214,0.04364830760140112,0.03615053908788519,0.2518517851965532,0.1805379530664186,0.37193119308018163,0.4153,0.2431260042529948,-0.4131559497413156,0.6098310291858678,0.36670502493287305,0.2934220251293422,0.7065779748706578,0.050281054461995274,0.04960391580925369,0.04482844481703437,0.04663427205265946,0.8996073344455032,0.8710886781012817,0.31188496971010016,0.20574247917216545,0.3521388280487007,0.5421,0.16533296565962963,-0.5028312570781428,0.674347158218126,0.5090141925584963,0.24858437146092865,0.7514156285390714,0.0005,0.2,256,None,2.0,0.6,5,None,400,None,None,1e-05,0.478059216512908,0.35323286799855924,0.3107856240044342,0.3488657887852542,0.09053421996702628,0.04427803803424886,0.04641471737198817,0.3488657887852542,0.3756869463189222,0.09053421996702628,0.09641338119748089,0.3107856240044342,0.20434398669861203,0.7143306198626922,0.6882458083238295,22.402850781007785,22.431329353653158,0.5982,0.7311827956989247,0.5650172612197929,0.16616553447913185,-0.5115443817342227,0.24422780913288866,0.7557721908671113,"{'I1': 0.6248718041487753, 'I2': -0.42370271735512777}","{'I1': 0.294249717517306, 'I2': 0.8578329042811488}","{'I1': 0.40494843951011544, 'I2': 0.028300981729631258}",7.4169670132933625,1M_DPSGD_BPR_50
0.0363573575065803,0.03498848270068222,0.026905753968253964,0.02936552028218696,1.3802116385739962,1.2802340471795108,0.46613641802182315,0.26038212701358143,0.21592621298234493,0.3069,0.1520083292235191,-0.44199999999999995,0.42857142857142855,0.27656309934790946,0.279,0.721,0.03505662349381935,0.034683042428559914,0.038039306716187,0.04245556439846138,-0.11569264677593848,-0.12645276425682545,0.255071337680775,0.17396558667590015,0.3151178867728239,0.4503,0.16292364230298084,-0.4846625766871166,0.5806451612903226,0.4177215189873418,0.25766871165644173,0.7423312883435583,0.04416656136190205,0.04349592145569908,0.039506197755491405,0.04132935214221903,0.6584207690625191,0.6301246117149935,0.30402810064223185,0.1969053484245823,0.3156229200114858,0.5586,0.15421790676996883,-0.512087912087912,0.6820276497695853,0.5278097429996165,0.24395604395604395,0.756043956043956,0.0005,0.2,256,None,2.0,1.0,5,None,400,None,None,1e-05,0.4925538678876524,0.3869393267156162,0.30496095267057965,0.30958868097065606,0.07469296244251615,0.038493279336687794,0.04081692271697253,0.30958868097065606,0.33600686190836915,0.07469296244251615,0.0785748350783659,0.30496095267057965,0.19659821309644532,0.49173669735484654,0.46542400676022827,22.905530340852753,22.932833776727097,0.6056,0.7419354838709677,0.5715381664748753,0.17039731739609243,-0.5103902686264572,0.24480486568677143,0.7551951343132286,"{'I1': 0.5484177806076643, 'I2': -0.43001024650677605}","{'I2': 0.7821317799124287, 'I1': 0.30639899867022613}","{'I1': 0.3851201392691874, 'I2': 0.026259210953266544}",2.0747605111122196,1M_DPSGD_BPR_50
