niche_user Novelty Normal,niche_user Novelty Calibrated,niche_user MRR Normal,niche_user MRR Calibrated,niche_user PL Normal,niche_user PL Calibrated,niche_user KLD Normal,niche_user KLD Calibrated,niche_user NCDG Normal,niche_user coverage,niche_user DPF,niche_user normalized_DPF,niche_user coverage_category_I1,niche_user coverage_category_I2,niche_user normalized_coverage_category_I1,niche_user normalized_coverage_category_I2,blockbuster Novelty Normal,blockbuster Novelty Calibrated,blockbuster MRR Normal,blockbuster MRR Calibrated,blockbuster PL Normal,blockbuster PL Calibrated,blockbuster KLD Normal,blockbuster KLD Calibrated,blockbuster NCDG Normal,blockbuster coverage,blockbuster DPF,blockbuster normalized_DPF,blockbuster coverage_category_I1,blockbuster coverage_category_I2,blockbuster normalized_coverage_category_I1,blockbuster normalized_coverage_category_I2,diverse Novelty Normal,diverse Novelty Calibrated,diverse MRR Normal,diverse MRR Calibrated,diverse PL Normal,diverse PL Calibrated,diverse KLD Normal,diverse KLD Calibrated,diverse NCDG Normal,diverse coverage,diverse DPF,diverse normalized_DPF,diverse coverage_category_I1,diverse coverage_category_I2,diverse normalized_coverage_category_I1,diverse normalized_coverage_category_I2,Learning Rate,learning_rate_factor,batch_size,dropout,max_grad_norm,noise_multiplier,latent_dim,mlp_layer_sizes,num_epochs,step_size,gamma,delta,Test Losses,Train Losses,KLD_test,NDCG_test,recall_test,Total MRR,Calibrated_MRR,NDCG_normal,Calibrated_NDCG,average_recall,average_recall_calibrated,KLD_Normal,KLD_Calibrated,normal_PL,Calibrated_PL,novelty_normal,Calibrated_novelty,Coverage,exposure_I1,exposure_I2,DPF,normalized_DPF,normalized_exposure_1,normalized_exposure_2,PL_per_category,kld_pre_category,ndcg_per_category,model_name,epsilon
14.688025536108333,14.858358283544899,0.004265371879964954,0.006923433857484362,-0.7552545244356262,-0.7397713019756949,0.5925822165245125,0.43092058228195484,0.06559187702185733,0.624,-0.20545179388749452,-0.7058461538461538,0.4596153846153846,0.6650671785028791,0.14707692307692308,0.8529230769230769,14.870501850588731,15.064941137494902,0.0022091033538672138,0.003969313255760894,-0.9084350591681686,-0.89284481259317,0.6993044983722158,0.5058487902759546,0.03961136187661227,0.4877,-0.1961021703824007,-0.7291338582677165,0.33076923076923076,0.5268714011516314,0.13543307086614173,0.8645669291338582,14.418586122771012,14.691929493858742,0.0028330709694346016,0.005254919323101134,-0.8731767177167039,-0.8554125588559591,0.5517978697613485,0.3792509421353401,0.04656688474735743,0.7373,-0.16678724346670604,-0.6729166666666666,0.6038461538461538,0.7706333973128598,0.16354166666666667,0.8364583333333333,0.0005,0.2,256,None,2.0,0.5,8,None,200,None,None,1e-05,0.7929823457410461,0.5129149665557798,0.5808306149382385,0.05083005806309875,0.0639054388728473,0.003141737328734305,0.005546054102392162,0.05083005806309875,0.07664250845755421,0.0639054388728473,0.08350276425819021,0.5808306149382385,0.408649331813713,-0.8621836499693862,-0.8451892825424374,14.546381317012672,14.782364364740364,0.8057,0.7269230769230769,0.8253358925143954,-0.09841281559131854,-0.6396568160152527,0.1801715919923737,0.8198284080076264,"{'I2': -0.38748317922130254, 'I1': -0.4413943150112152}","{'I2': 1.6909779799110818, 'I1': 1.2243539337950948}","{'I2': 0.06105172409247616, 'I1': 0.10028778698963384}",DPSGD_SVD_Yelp_50,16.9753304354036
14.608432977107482,14.853116365764123,0.004642040476932895,0.006400433575363404,-0.7587438011480643,-0.7448504793160751,0.6072233467970175,0.4423154444958332,0.06690186996383664,0.6382,-0.1919681086667651,-0.6967509025270757,0.4846153846153846,0.6765834932821497,0.15162454873646208,0.8483754512635379,14.577189583471316,14.74288047178358,0.0021461164890323008,0.003440810273459143,-0.9112814950054637,-0.9022576877765917,0.7223751357801125,0.5243824306530286,0.036194548691878055,0.5081,-0.204713568581131,-0.7294028722600152,0.34423076923076923,0.5489443378119002,0.13529856386999245,0.8647014361300076,14.705402906966162,14.977745364438997,0.002990964843237565,0.004923160173160166,-0.8712373847059942,-0.8579338561665766,0.5528769534429464,0.3926414518649838,0.04881602223309581,0.7373,-0.1643843200944929,-0.671875,0.6057692307692307,0.7701535508637236,0.1640625,0.8359375,0.0005,0.2,256,None,2.0,0.6,8,None,200,None,None,1e-05,0.9426642573977771,0.6416353735413571,0.5882496670480022,0.05213270070633245,0.06192779833982481,0.003331397112835739,0.00513877910319059,0.05213270070633245,0.0717594838212625,0.06192779833982481,0.07490855190065412,0.5882496670480022,0.42213324129963065,-0.8620006953965305,-0.8494427078370093,14.663627066030323,14.915469810538923,0.8153,0.7269230769230769,0.8373320537428023,-0.11040897681972539,-0.6439001413094678,0.17804992934526614,0.8219500706547339,"{'I1': -0.4639695668443575, 'I2': -0.393979396871596}","{'I2': 1.6777352724148709, 'I1': 1.183773194322727}","{'I1': 0.09873852376057035, 'I2': 0.06276985706301337}",DPSGD_SVD_Yelp_50,7.900895729881009
15.260189649199203,15.381348879560779,0.004303718057226004,0.00662368034210877,-0.7540237098336086,-0.7399248584999388,0.6079354417929955,0.43638916947913314,0.06694890298231002,0.6551,-0.18664919533441604,-0.6916764361078547,0.5057692307692307,0.6924184261036468,0.1541617819460727,0.8458382180539273,15.258065647827683,15.454223899482951,0.002536260226198624,0.00430364068967765,-0.9117182788412318,-0.900943665816886,0.7118204733956635,0.5247878381709442,0.04291437893183543,0.5096,-0.2282592647275949,-0.7437829691032405,0.3269230769230769,0.5551823416506718,0.1281085154483798,0.8718914845516202,14.969869499221385,15.232242019675738,0.0029986881805063566,0.004861816214088939,-0.8741861134233236,-0.8604485776093985,0.5548080408635446,0.39712651743897487,0.04666319311982699,0.7523,-0.15666617451646248,-0.6671771311893824,0.6269230769230769,0.7835892514395394,0.16641143440530884,0.8335885655946912,0.0005,0.2,256,None,2.0,0.6,8,None,200,None,None,1e-05,0.9389377706929257,0.6388420270058354,0.5883236963556786,0.051658100396849746,0.06404963547225011,0.003292922215834687,0.005267148526077116,0.051658100396849746,0.07477979252331579,0.06404963547225011,0.08200025043937191,0.5883236963556786,0.42331938419636883,-0.8632971308335375,-0.8500828698257884,15.083225576861603,15.299520794495422,0.8264,0.7365384615384616,0.8488483685220729,-0.11230990698361132,-0.6440520446096654,0.1779739776951673,0.8220260223048327,"{'I2': -0.407578300235946, 'I1': -0.461215211878798}","{'I2': 1.687098283036346, 'I1': 1.2158408411376134}","{'I2': 0.06112869116642508, 'I1': 0.0942230513257947}",DPSGD_SVD_Yelp_50,7.900895729881009
14.786627466634851,14.970911769193416,0.0034714612380655377,0.005437027633005176,-0.7520085757539133,-0.7379333485008966,0.6119438977346197,0.45849807197409265,0.05534974907109861,0.6624,-0.24382474531226928,-0.7182608695652173,0.4673076923076923,0.7111324376199616,0.1408695652173913,0.8591304347826086,14.931085564698515,15.164768390369694,0.0021797692382907992,0.004410221309605294,-0.9103969159767235,-0.9022099718953733,0.7222141143470582,0.5540369896645373,0.034050918716252224,0.5223,-0.20564742359368077,-0.7264705882352942,0.3576923076923077,0.5633397312859885,0.13676470588235295,0.8632352941176471,14.538203060119859,14.821789412229098,0.003411845730027543,0.004827249770431581,-0.8733137149624448,-0.8613505674753572,0.5481560883467468,0.41388766128524734,0.0509817025946729,0.7631,-0.20854864904768933,-0.6879718168092601,0.5961538461538461,0.8047024952015355,0.1560140915953699,0.8439859084046301,0.0005,0.2,256,None,2.0,0.8,8,None,200,None,None,1e-05,1.2663514902325053,0.9191625181294273,0.5866257631198322,0.05008234392628966,0.059065275561125674,0.0032769633675066244,0.004940116891827164,0.05008234392628966,0.06887093881878825,0.059065275561125674,0.07433619332227893,0.5866257631198322,0.44304793591982733,-0.862163958185615,-0.8506174122470674,14.653117413815572,14.903892672276715,0.8253,0.6903846153846154,0.8589251439539347,-0.16854052856931934,-0.6658911121451838,0.1670544439274081,0.8329455560725919,"{'I2': -0.39230169967778916, 'I1': -0.46608287333212123}","{'I2': 1.6912792987041514, 'I1': 1.22641352348981}","{'I2': 0.057999052152548435, 'I1': 0.0907860638274788}",DPSGD_SVD_Yelp_50,3.390996915458384
14.919543982853906,15.140014371920921,0.0044746610836414345,0.007066164788335031,-0.7475790606314887,-0.7370592575167382,0.6084482890757562,0.4743239929116734,0.07107122449952862,0.679,-0.18756459471430675,-0.6889140271493213,0.5288461538461539,0.7164107485604606,0.15554298642533937,0.8444570135746606,15.311812459123452,15.388292789465805,0.002703464684984192,0.00533481633584303,-0.9076991334616854,-0.9014281655338724,0.7067880647677711,0.5566720348314265,0.04478160884763352,0.5234,-0.211892809685516,-0.7300073367571533,0.35384615384615387,0.5657389635316699,0.13499633162142333,0.8650036683785767,15.018581119990577,15.210457983791756,0.0032413911845729977,0.004683015217106117,-0.8689528186360173,-0.8580922249826531,0.5525786077663175,0.42566894977111785,0.05063499669825931,0.773,-0.22102465672523253,-0.6920019870839542,0.5961538461538461,0.8171785028790787,0.15399900645802286,0.8460009935419771,0.0005,0.2,256,None,2.0,1.0,8,None,200,None,None,1e-05,1.5703373396475064,1.1970785414976348,0.5864882392752455,0.055412594192299075,0.06885241285931502,0.0035070841716968444,0.005403592188048946,0.055412594192299075,0.07474361621878453,0.06885241285931502,0.07816600434114179,0.5864882392752455,0.4547964003600575,-0.8581171176044242,-0.8482035575891547,15.027870094477125,15.213300370429918,0.841,0.698076923076923,0.8766794625719769,-0.1786025394950539,-0.6684931506849314,0.16575342465753426,0.8342465753424657,"{'I1': -0.46193168264877665, 'I2': -0.3961871938248148}","{'I2': 1.6886269460663486, 'I1': 1.2342634882779975}","{'I1': 0.09988770584942641, 'I2': 0.06941234355383968}",DPSGD_SVD_Yelp_50,2.1617894927528063
15.304818710591503,15.323531998140524,0.00461668671210298,0.006276188991343332,-0.7472813972152618,-0.740288669341994,0.6012495203695868,0.467127303058143,0.07055410193753708,0.6682,-0.26543998228259263,-0.7275862068965517,0.45576923076923076,0.7212092130518234,0.13620689655172413,0.8637931034482759,15.535753771953072,15.605071157780399,0.0028124898145432025,0.0040706789218082845,-0.904891237374605,-0.8972750486416744,0.698108426162732,0.5507017214792216,0.048048488181179363,0.5349,-0.19505019932083278,-0.7171572146446519,0.37884615384615383,0.5738963531669866,0.1414213926776741,0.8585786073223259,15.123502714445578,15.249770888917357,0.0032479666797848553,0.004417634133543217,-0.8657520149865243,-0.8570000829396057,0.5468275025454278,0.41781624261593886,0.05064066137333744,0.7738,-0.22919311974014467,-0.6952853598014888,0.5903846153846154,0.8195777351247601,0.1523573200992556,0.8476426799007444,0.0005,0.2,256,None,2.0,0.9,8,None,200,None,None,1e-05,1.422478746230665,1.0526691946718427,0.5799892095010749,0.055677150211000524,0.066828205756636,0.003562625754527158,0.004874834323400732,0.055677150211000524,0.06982608650935919,0.066828205756636,0.07555063821211297,0.5799892095010749,0.44735063693664684,-0.8554329484601981,-0.8471692018925201,15.222746443038673,15.31312145649677,0.8387,0.6826923076923077,0.8776391554702495,-0.1949468477779418,-0.674908424908425,0.16254578754578755,0.8374542124542125,"{'I2': -0.3917144019443688, 'I1': -0.4460150168585206}","{'I2': 1.670874756749334, 'I1': 1.2189269716492497}","{'I2': 0.06630920511747226, 'I1': 0.09536535346366086}",DPSGD_SVD_Yelp_50,2.6355231542252024
15.459709228218744,15.496166850260014,0.004613734382641941,0.005997361907726046,-0.6951675010212054,-0.6937529814455029,0.6059810772310366,0.5057101093079008,0.07162349670615413,0.7262,-0.10721615236970328,-0.6478053939714437,0.6403846153846153,0.7476007677543186,0.17609730301427817,0.8239026969857218,15.433790871380062,15.417859803854379,0.002926935035182458,0.004129029618720341,-0.8916156628654532,-0.8878094684283603,0.7237513662422812,0.6024869821514113,0.05096749721899717,0.576,-0.1430680643732467,-0.6799999999999999,0.46153846153846156,0.6046065259117083,0.16,0.84,15.519844927950983,15.604108609553553,0.003981683720320077,0.004923963662600018,-0.8424225903887084,-0.8365580527595713,0.5481118401089214,0.4516435978475076,0.06349466919726628,0.8445,-0.12765391997637676,-0.648931332423829,0.7423076923076923,0.8699616122840691,0.1755343337880855,0.8244656662119145,0.0005,0.2,256,None,2.0,2.0,8,None,200,None,None,1e-05,2.897968296941958,2.514600492504889,0.5851246980396219,0.06415621241974072,0.07704127477870144,0.004023276564146783,0.005116133307783227,0.06415621241974072,0.07501060730576098,0.07704127477870144,0.08047318600709205,0.5851246980396219,0.4846074497492869,-0.8295729819470381,-0.824785014231187,15.493149366620468,15.552313766754924,0.9021,0.8192307692307692,0.9227447216890595,-0.10351395245829031,-0.6372924648786717,0.18135376756066413,0.8186462324393359,"{'I2': -0.3678078232518847, 'I1': -0.3842080702480758}","{'I2': 1.684984059872013, 'I1': 1.2030622885844013}","{'I2': 0.06497380512522007, 'I1': 0.12274540721545901}",DPSGD_SVD_Yelp_50,0.801914688494833
14.772976211386876,14.998893664949117,0.0036760360520884335,0.00697261941883082,-0.7407611509550526,-0.7243660389819179,0.6019430716388198,0.42578974118793833,0.059299868759346536,0.6406,-0.16601210689502444,-0.6834532374100719,0.5076923076923077,0.6737044145873321,0.15827338129496402,0.841726618705036,14.493014330413388,14.686891773237171,0.0023696261529937094,0.005465027215540564,-0.8981688038014184,-0.8822922619391096,0.7043906278229505,0.5048455944022849,0.04119377257860886,0.4962,-0.08410970028052561,-0.6547987616099071,0.4288461538461538,0.5129558541266794,0.17260061919504643,0.8273993808049536,14.380883241195141,14.699240787985238,0.003078299226026493,0.00547307490489308,-0.8588385859774502,-0.8378928030816162,0.5458167527004985,0.37557913426376344,0.050640873074132044,0.7473,-0.05911708253358927,-0.6258992805755397,0.7,0.7591170825335892,0.18705035971223022,0.8129496402877698,0.0005,0.2,256,None,2.0,0.5,8,None,200,None,None,1e-05,0.7979012247371046,0.5120712545673543,0.5803299599765798,0.05181183093282784,0.06606361663744464,0.0031522068921465275,0.0058752614895723814,0.05181183093282784,0.08081119619901339,0.06606361663744464,0.08500075426612388,0.5803299599765798,0.40491210833051466,-0.8486163689834848,-0.8293492116769111,14.500036969963798,14.778293845151227,0.8214,0.7884615384615384,0.8296545105566219,-0.041192972095083435,-0.616643291257597,0.1916783543712015,0.8083216456287985,"{'I1': -0.38756001291020326, 'I2': -0.4069171138552463}","{'I2': 1.6877184160330068, 'I1': 1.2250543745613955}","{'I1': 0.11559136496190596, 'I2': 0.054630849451346206}",DPSGD_SVD_Yelp_50,16.9753304354036
22.85067522324851,22.44824552607464,0.026794347368577182,0.028215212010730354,0.36959386911176373,0.2918941440657317,0.6033614945994729,0.35014900776729185,0.31667273008697855,0.727,0.3411708253358925,-0.450607501320655,1.0,0.6588291746641075,0.27469624933967246,0.7253037506603275,22.426060323734443,22.106110698065876,0.04130371461299302,0.03874701358206516,-0.3578098016683237,-0.3883386528825071,0.6317461049805083,0.3415601544160652,0.4393367263821992,0.5104,0.5949837590432601,-0.22799097065462753,0.9865384615384616,0.3915547024952015,0.3860045146726862,0.6139954853273137,22.40784986396281,22.180412270786505,0.03793724583497307,0.03664621868030947,-0.0254335684809746,-0.0647546689312485,0.5056038488345613,0.29091765020783167,0.39847971208801863,0.7546,0.30662188099808063,-0.4707379134860051,1.0,0.6933781190019194,0.26463104325699743,0.7353689567430025,0.0005,0.2,256,None,None,None,8,None,400,None,None,None,0.15634570711929546,0.07120564985299797,0.5473235251034256,0.3814274923218123,0.3921867570182074,0.0353463738781896,0.03463144941075015,0.3814274923218123,0.37735580938811364,0.3921867570182074,0.3905736736773327,0.5473235251034256,0.31305004419353966,-0.029873173508089993,-0.07332542160997782,22.529353393335192,22.24349404987206,0.8391,1.0,0.7989443378119002,0.20105566218809978,-0.5240274599542334,0.2379862700228833,0.7620137299771167,"{'I1': -0.0941300385229987, 'I2': 0.15758688357992776}","{'I1': 0.9922619401957834, 'I2': 1.8264042793421336}","{'I1': 0.4428369214207185, 'I2': 0.16301082054926622}",SVD_Yelp_50,0
14.91094294700452,15.19039308363961,0.0038975010022718123,0.005807311387292671,-0.763043383826898,-0.7468514389473785,0.6014392678620412,0.43696811579443534,0.058275438679946175,0.649,-0.19819503912594122,-0.6982248520710059,0.49038461538461536,0.6885796545105566,0.15088757396449703,0.849112426035503,14.932019231736026,15.1471968749678,0.002664515498191062,0.005646735764805578,-0.9082717240363057,-0.8979357300739287,0.7209745087772503,0.5293103380759262,0.048205255738147774,0.5058,-0.18261110290860766,-0.7160212604403948,0.3596153846153846,0.5422264875239923,0.1419893697798026,0.8580106302201974,14.840416919601886,15.100370894843719,0.002892479994752715,0.004765397481306565,-0.874849728081693,-0.8602556854873951,0.5495936720835347,0.3916155272118841,0.04627444252982752,0.7492,-0.1888712535065702,-0.68118913377755,0.5980769230769231,0.7869481765834933,0.15940543311122501,0.840594566888775,0.0005,0.2,256,None,2.0,0.6,8,None,200,None,None,1e-05,0.9223665158803526,0.6306220568256614,0.5845246100506029,0.049737563987807605,0.05887131870768794,0.0031347709271501985,0.005153480406247021,0.049737563987807605,0.07076051485112589,0.05887131870768794,0.07117208307940204,0.5845246100506029,0.4206747047987895,-0.8644252910274093,-0.8504197783444915,14.87059867244463,15.130310022646338,0.8214,0.7173076923076923,0.8474088291746641,-0.13010113686697178,-0.6512388966806919,0.17438055165965405,0.825619448340346,"{'I1': -0.42967185476215125, 'I2': -0.40815678395204946}","{'I2': 1.6854284662255716, 'I1': 1.248787099119841}","{'I1': 0.09530788283492686, 'I2': 0.061555911461963896}",DPSGD_SVD_Yelp_50,7.900895729881009
