niche_user Novelty Normal,niche_user PL Normal,niche_user KLD Normal,niche_user NCDG Normal,niche_user coverage,niche_user DPF,niche_user normalized_DPF,niche_user coverage_category_I1,niche_user coverage_category_I2,niche_user normalized_coverage_category_I1,niche_user normalized_coverage_category_I2,blockbuster Novelty Normal,blockbuster PL Normal,blockbuster KLD Normal,blockbuster NCDG Normal,blockbuster coverage,blockbuster DPF,blockbuster normalized_DPF,blockbuster coverage_category_I1,blockbuster coverage_category_I2,blockbuster normalized_coverage_category_I1,blockbuster normalized_coverage_category_I2,diverse Novelty Normal,diverse PL Normal,diverse KLD Normal,diverse NCDG Normal,diverse coverage,diverse DPF,diverse normalized_DPF,diverse coverage_category_I1,diverse coverage_category_I2,diverse normalized_coverage_category_I1,diverse normalized_coverage_category_I2,Learning Rate,learning_rate_factor,batch_size,dropout,max_grad_norm,noise_multiplier,latent_dim,mlp_layer_sizes,num_epochs,step_size,gamma,delta,Test Losses,Train Losses,KLD_test,NDCG_test,recall_test,Total MRR,Calibrated_MRR,NDCG_normal,Calibrated_NDCG,average_recall,average_recall_calibrated,KLD_Normal,KLD_Calibrated,normal_PL,Calibrated_PL,novelty_normal,Calibrated_novelty,Coverage,exposure_I1,exposure_I2,DPF,normalized_DPF,normalized_exposure_1,normalized_exposure_2,PL_per_category,kld_pre_category,ndcg_per_category,epsilon,model_name
26.345264787366794,-0.7625442807581387,1.817380072536592,0.0,0.1376,0.022480460288303666,-0.5480519480519481,0.1556350626118068,0.13315460232350312,0.22597402597402597,0.7740259740259741,26.3977135575118,-0.7625442807581387,1.4044689226788845,0.0034387849273875997,0.229,0.03910660073762509,-0.5456674473067915,0.26028622540250446,0.22117962466487937,0.22716627634660422,0.7728337236533958,26.42055888415078,-0.7625442807581387,1.4701276490348258,0.001434478753557073,0.2785,0.008521296647114929,-0.5905006418485237,0.2853309481216458,0.27680965147453085,0.20474967907573813,0.7952503209242618,1e-05,None,922,None,2.0,0.6,None,None,100,None,None,1e-05,78.04680633544922,130.03218048095704,6.60124451971882,0.0,0.003003003003003003,None,None,0.0,None,0.003003003003003003,None,6.60124451971882,None,-0.7625442807581387,None,26.40259786374961,None,0.3666,0.39087656529516995,0.3605898123324397,0.030286752962730257,-0.5738664066309118,0.21306679668454412,0.7869332033154559,"{'I2': -0.34345466112813516, 'I1': -0.32209443253440323}","{'I2': 4.547840970530559, 'I1': 2.2555617652842024}","{'I2': 0.0, 'I1': 0.005998134454105351}",0.9272453995490779,vae_DPSGD_Yelp
26.38563630664903,-0.7771481658958409,1.817380072536592,0.0,0.1332,0.020240727329697977,-0.5516778523489934,0.14937388193202147,0.1291331546023235,0.22416107382550335,0.7758389261744967,26.396132426290215,-0.7771481658958409,1.4029566296742915,0.002440711717568086,0.2133,0.03529178077154885,-0.5473595976529757,0.24150268336314848,0.20621090259159963,0.22632020117351215,0.7736797988264879,26.428078913172282,-0.7771481658958409,1.4702894037855907,0.0016628438535652241,0.2628,0.01700302627729522,-0.5795918367346939,0.276386404293381,0.2593833780160858,0.21020408163265306,0.789795918367347,1e-05,None,922,None,2.0,0.8,None,None,100,None,None,1e-05,79.03616333007812,132.30253829956055,6.598992017730605,0.0,0.001001001001001001,None,None,0.0,None,0.001001001001001001,None,6.598992017730605,None,-0.7771481658958409,None,26.411769977573623,None,0.3436,0.37298747763864043,0.3362377122430742,0.036749765395566236,-0.5660770031217481,0.2169614984391259,0.7830385015608741,"{'I1': -0.36365214049389244, 'I2': -0.3376580156696536}","{'I1': 2.2530432373303544, 'I2': 4.547739864212496}","{'I1': 0.004942211374458963, 'I2': 0.0}",0.3042085374577431,vae_DPSGD_Yelp
26.401917020485254,-0.7803762297732502,1.817380072536592,0.0,0.1292,0.01844862122934321,-0.5546334716459198,0.1440071556350626,0.1255585344057194,0.22268326417704012,0.7773167358229599,26.41734807070717,-0.7803762297732502,1.4021707847218816,0.0024822831078278084,0.2058,0.030142872901149614,-0.5534317984361425,0.2298747763864043,0.19973190348525469,0.22328410078192876,0.7767158992180713,26.41810256502231,-0.7803762297732502,1.4705153701626532,0.0016628438535652241,0.256,0.012078331502859252,-0.5851955307262571,0.26565295169946335,0.2535746201966041,0.20740223463687152,0.7925977653631285,1e-05,None,922,None,2.0,0.9,None,None,100,None,None,1e-05,79.51024627685547,133.19535781860353,6.5982232935305944,0.0,0.001001001001001001,None,None,0.0,None,0.001001001001001001,None,6.5982232935305944,None,-0.7803762297732502,None,26.415589619683658,None,0.3323,0.3559928443649374,0.32640750670241286,0.029585337662524525,-0.5718128025820333,0.2140935987089833,0.7859064012910166,"{'I2': -0.33670921770485585, 'I1': -0.3765276574245942}","{'I2': 4.545331780465695, 'I1': 2.251803645257138}","{'I2': 0.0, 'I1': 0.004927280222270265}",0.23852147613077304,vae_DPSGD_Yelp
26.427662424094713,-0.7814761770199394,1.8141280839069411,0.0,0.1269,0.010174318687941733,-0.5746478873239436,0.13506261180679785,0.12488829311885612,0.21267605633802816,0.7873239436619718,26.394376071264954,-0.7814761770199394,1.4025077161866462,0.0024822831078278084,0.1984,0.028124155703805304,-0.5549549549549551,0.22093023255813954,0.19280607685433424,0.22252252252252253,0.7774774774774775,26.422616542139846,-0.7814761770199394,1.4704126737416296,0.0016628438535652241,0.2513,0.01453348488699821,-0.5817923186344238,0.2629695885509839,0.2484361036639857,0.20910384068278806,0.7908961593172119,1e-05,None,922,None,2.0,1.0,None,None,100,None,None,1e-05,79.95845794677734,133.97292434692383,6.596395995129615,0.0,0.0,None,None,0.0,None,0.0,None,6.596395995129615,None,-0.7814761770199394,None,26.414164601109,None,0.3245,0.3416815742397138,0.3201519213583557,0.021529652881358108,-0.5790633608815428,0.21046831955922865,0.7895316804407714,"{'I2': -0.33518454358465, 'I1': -0.37137476545176384}","{'I2': 4.544199844958015, 'I1': 2.253239590281119}","{'I2': 0.0, 'I1': 0.004979938178844146}",0.19774069903758557,vae_DPSGD_Yelp
26.421958736901665,-0.7932283470736323,1.8187190726872156,0.0,0.1101,0.00769998129559199,-0.577922077922078,0.11627906976744186,0.10857908847184987,0.21103896103896103,0.788961038961039,26.438639391537706,-0.7932283470736323,1.4028559476667182,0.002700969044504802,0.1686,0.0173659237659487,-0.5673382820784729,0.18246869409660108,0.16510277033065238,0.2163308589607635,0.7836691410392365,26.45816970661592,-0.7932283470736323,1.4702421723626038,0.0018615117507814493,0.2142,0.0073458764773684515,-0.5893155258764609,0.22003577817531306,0.2126899016979446,0.20534223706176963,0.7946577629382304,1e-05,None,922,None,2.0,2.0,None,None,100,None,None,1e-05,83.05444717407227,138.50357971191406,6.600451815244899,0.0,0.001001001001001001,None,None,0.0,None,0.001001001001001001,None,6.600451815244899,None,-0.7932283470736323,None,26.446760940003994,None,0.2724,0.2808586762075134,0.2703306523681859,0.01052802383932755,-0.5879265091863517,0.20603674540682415,0.7939632545931758,"{'I1': -0.42443999673196026, 'I2': -0.33405033893511815}","{'I1': 2.2550137795789413, 'I2': 4.5442084325640675}","{'I1': 0.005025977668941318, 'I2': 0.0}",0.07941793129197228,vae_DPSGD_Yelp
26.437775740816335,-0.7968511891956646,1.8187190726872156,0.0,0.0997,0.009479298057139568,-0.5698924731182795,0.1073345259391771,0.09785522788203753,0.21505376344086022,0.7849462365591398,26.447555816048187,-0.7968511891956646,1.4038812460813808,0.0031139966582948886,0.1582,0.012438031656810872,-0.5751412429378531,0.16815742397137745,0.15571939231456658,0.21242937853107344,0.7875706214689265,26.457067741633665,-0.7968511891956646,1.4706779376902248,0.002081331375744741,0.199,0.01739310111091394,-0.5723270440251573,0.21288014311270126,0.19548704200178732,0.2138364779874214,0.7861635220125787,1e-05,None,922,None,2.0,3.0,None,None,100,None,None,1e-05,84.65127182006836,140.60231674194335,6.6036839491164425,0.0,0.001001001001001001,None,None,0.0,None,0.001001001001001001,None,6.6036839491164425,None,-0.7968511891956646,None,26.451279209096974,None,0.254,0.26028622540250446,0.25245755138516535,0.00782867401733911,-0.5904292751583391,0.2047853624208304,0.7952146375791695,"{'I1': -0.43598466066752284, 'I2': -0.3399252007132785}","{'I1': 2.2490349347617915, 'I2': 4.545459364343191}","{'I1': 0.006078339728904689, 'I2': 0.0}",0.052661797297131004,vae_DPSGD_Yelp
26.436985638601026,-0.7999706163079687,1.8187190726872156,0.0,0.0942,0.013051520252717344,-0.555977229601518,0.10465116279069768,0.09159964253798034,0.222011385199241,0.777988614800759,26.46530988658451,-0.7999706163079687,1.4033026657693828,0.0031139966582948886,0.15,0.012654251416019613,-0.5733015494636473,0.16010733452593917,0.14745308310991956,0.2133492252681764,0.7866507747318237,26.47527778764486,-0.7999706163079687,1.4708728720438282,0.0017760513125276939,0.1866,0.011569155951598742,-0.5804597701149425,0.19588550983899822,0.18431635388739948,0.20977011494252873,0.7902298850574713,1e-05,None,922,None,2.0,4.0,None,None,100,None,None,1e-05,85.60127258300781,141.8361173248291,6.60329191877158,0.0,0.001001001001001001,None,None,0.0,None,0.001001001001001001,None,6.60329191877158,None,-0.7999706163079687,None,26.466678687735257,None,0.2415,0.2441860465116279,0.24084003574620197,0.0033460107654259275,-0.5958549222797926,0.20207253886010362,0.7979274611398963,"{'I2': -0.3437419530710244, 'I1': -0.4344323145603834}","{'I2': 4.546530708488878, 'I1': 2.250347021397049}","{'I2': 0.0, 'I1': 0.00512383178099023}",0.04062153099807219,vae_DPSGD_Yelp
26.44433556601577,-0.8005865479672699,1.8187190726872156,0.0,0.093,0.012379680298503157,-0.5576923076923077,0.10286225402504472,0.09048257372654156,0.22115384615384615,0.7788461538461539,26.47544817258498,-0.8005865479672699,1.4033026657693828,0.0032106705388201865,0.1469,0.009745076504226069,-0.5790754257907542,0.1547406082289803,0.14499553172475424,0.21046228710462286,0.7895377128953771,26.471459541455243,-0.8005865479672699,1.4708728720438282,0.0017760513125276939,0.1827,0.008659181706129754,-0.5851272015655578,0.18962432915921287,0.18096514745308312,0.20743639921722112,0.7925636007827789,1e-05,None,922,None,2.0,5.0,None,None,100,None,None,1e-05,86.22860717773438,142.650830078125,6.60329191877158,0.0,0.0015015015015015015,None,None,0.0,None,0.0015015015015015015,None,6.60329191877158,None,-0.8005865479672699,None,26.46895199383211,None,0.2347,0.2370304114490161,0.23413762287756926,0.0028927885714468415,-0.5963442498095963,0.20182787509520184,0.7981721249047982,"{'I2': -0.34259591395225447, 'I1': -0.43813107558040293}","{'I2': 4.547078988649194, 'I1': 2.2543683392084284}","{'I2': 0.0, 'I1': 0.0051160918538286125}",0.03377483702476356,vae_DPSGD_Yelp
26.458909451111374,-0.8002897368054649,1.8187190726872156,0.0,0.0915,0.01193125410657675,-0.55859375,0.10107334525939177,0.08914209115281502,0.220703125,0.779296875,26.482272632155887,-0.8002897368054649,1.4033026657693828,0.0032106705388201865,0.145,0.009966891599162947,-0.5782983970406905,0.15295169946332737,0.14298480786416443,0.21085080147965474,0.7891491985203453,26.474205855948902,-0.8002897368054649,1.4710483420327576,0.0017760513125276939,0.1809,0.008657583038778893,-0.5849802371541502,0.18783542039355994,0.17917783735478104,0.2075098814229249,0.7924901185770751,1e-05,None,922,None,2.0,6.0,None,None,100,None,None,1e-05,86.67322540283203,143.22892501831055,6.6040834015458,0.0,0.0015015015015015015,None,None,0.0,None,0.0015015015015015015,None,6.6040834015458,None,-0.8002897368054649,None,26.474678467374133,None,0.2327,0.23613595706618962,0.23190348525469168,0.00423247181149794,-0.5944700460829493,0.20276497695852536,0.7972350230414746,"{'I1': -0.4328744262783078, 'I2': -0.3467625313086326}","{'I1': 2.2494438296268693, 'I2': 4.548105576056252}","{'I1': 0.005093011740202318, 'I2': 0.0}",0.029369324693065135,vae_DPSGD_Yelp
26.45126135996707,-0.7993488648219653,1.8187190726872156,0.0,0.091,0.010365759103211566,-0.5638506876227898,0.09928443649373882,0.08891867739052725,0.2180746561886051,0.7819253438113949,26.478375452998378,-0.7993488648219653,1.4038812460813808,0.0032106705388201865,0.1423,0.008846625453022366,-0.5804020100502512,0.14937388193202147,0.1405272564789991,0.20979899497487436,0.7902010050251256,26.462848725031428,-0.7993488648219653,1.4711434078667502,0.0017760513125276939,0.1768,0.013796099571397297,-0.5753286147623862,0.18783542039355994,0.17403932082216264,0.2123356926188069,0.7876643073811931,1e-05,None,922,None,2.0,7.0,None,None,100,None,None,1e-05,87.00448226928711,143.66047691345216,6.60541176035045,0.0,0.0015015015015015015,None,None,0.0,None,0.0015015015015015015,None,6.60541176035045,None,-0.7993488648219653,None,26.46626056562428,None,0.2281,0.23524150268336314,0.22631814119749777,0.008923361485865366,-0.5877742946708464,0.2061128526645768,0.7938871473354232,"{'I1': -0.44073524362456806, 'I2': -0.3456238377224932}","{'I1': 2.2498039176647766, 'I2': 4.547506881919592}","{'I1': 0.005108375274863562, 'I2': 0.0}",0.02630606447173841,vae_DPSGD_Yelp
